id,title,description,link,condition,price,availability,image link,gtin,mpn,brand,google product category,shipping weight,sale price,sale price effective date,additional image link,product type,custom label 0
173D-Y,Stork's Surprise - Set of 50 -  New Baby Congratulations Cards,"A new baby card with a simple stork image, printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Storks_Surprise_173D,new,33.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/173.jpg,,173D-Y,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,New Baby Congratulations Card,15Off
174U-X,Anniversary Celebration - Set of 50 -  Employee Anniversary Cards,"A fun anniversary card featuring FSC&reg; certified paper and holographic silver foil embossing.
Includes 26 white envelopes for every 25 cards ordered.
Please note: If you have purchased this card in the past, the previous paper has been discontinued. The new paper is a heavier cardstock that is not quite as shiny.",https://postycards.com/catalog/product/Anniversary_Celebration_174U,new,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/174.jpg,,174U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Employee Anniversary Card,15Off
177D-X,Formal Congratulations - Set of 50 -  Congratulations Cards,"A business congratulations card featuring a simple blue design and silver foil embossing. Printed on 40% recycled paper.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Formal_Congratulations_177D,new,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/177.jpg,,177D-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Congratulations Card,15Off
178U-X,Formal Welcome - Set of 50 -  Employee Welcome Cards,"A formal welcome card featuring gold foil embossing and printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Formal_Welcome_178U,new,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/178.jpg,,178U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Employee Welcome Card,15Off
180D-Y,Welcome to the Team - Set of 50 -  Employee Welcome Cards,"This greeting card is perfect for welcoming new employees to your team. Printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Welcome_to_the_Team_180D,new,33.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/180.jpg,,180D-Y,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Employee Welcome Card,15Off
182D-X,Get Well - Set of 50 -  Get Well Cards,"This lovely get well card features silver foil embossing and is printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Get_Well_182D,new,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/182.jpg,,182D-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Get Well Card,15Off
184D-X,Corporate Thank You - Set of 50 -  Business Thank You Cards,"A corporate thank you card with a stylish design and gold foil embossing. Printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Corporate_Thank_You_184D,new,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/184.jpg,,184D-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Business Thank You Card,15Off
186P-ZZ,Swirl Thank You Postcard - Set of 50 -  Thank You Postcards,"This thank you postcard is a budget friendly way to say thanks! Printed on FSC&reg; certified paper.
No envelope included.",https://postycards.com/catalog/product/Swirl_Thank_You_Postcard_186P,new,24.50 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/186.jpg,,186P-ZZ,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Thank You PostCard,15Off
187P-ZZ,Squares Thank You Postcard - Set of 50 -  Thank You Postcards,"This postcard with a square design is a budget friendly way to say thank you. Printed on FSC&reg; certified paper.
No envelope included.",https://postycards.com/catalog/product/Squares_Thank_You_Postcard_187P,new,24.50 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/187.jpg,,187P-ZZ,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Thank You PostCard,15Off
188KW-X,Organic Get Well - Set of 50 -  Recycled Get Well Cards,"An environmentally friendly get well card printed with soy ink on 30% recycled, FSC&reg; certified paper.
Includes 26 white, 100% recycled, envelopes for every 25 cards ordered.",https://postycards.com/catalog/product/Organic_Get_Well_188KW,new,37.00 USD,in stock,https://postycards.com/images/fck/Exterior/2011%20AO/188.jpg,,188KW-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Recycled Get Well Card,15Off
