id	title	brand	link	price	description	image_link	mpn	gtin	availability	condition	product_type	product_category	custom_label_0
A6033U-X	Beetle Birthday - Automotive Birthday Cards	Posty Cards Inc.	https://postycards.com/catalog/product/Beetle_Birthday_A6033U	37.00 USD	"A unique automotive birthday card featuring silver foil stamping and heavy, uncoated FSC&reg; certified paper.Includes 26 white envelopes for every 25 cards ordered."	https://postycards.com/images/fck/Exterior/2016%20AO/A6033U.jpg	A6033U-X		In Stock	New	Automotive Birthday Card	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
AX30D-Y	Birthday Joy - Automotive Birthday Cards	Posty Cards Inc.	https://postycards.com/catalog/product/Birthday_Joy_X30D	33.00 USD	"This clever automotive birthday card features an odometer filled with joy. Printed on FSC&reg; certified paper.Includes 26 white envelopes for every 25 cards ordered."	https://postycards.com/images/fck/Exterior/2010%20AO/X30.jpg	AX30D-Y		In Stock	New	Automotive Birthday Card	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
A3023U-X	Cadillac Style - Automotive Birthday Cards	Posty Cards Inc.	https://postycards.com/catalog/product/Cadillac_Style_A3023U	37.00 USD	"This artistic photograph of a Cadillac is sure to please any auto lover. Featuring FSC&reg; certified paper and silver foil embossing.Includes 26 white envelopes for every 25 cards ordered."	https://postycards.com/images/fck/Exterior/2013%20AO/A3023.jpg	A3023U-X		In Stock	New	Automotive Birthday Card	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
A5044U-X	Three Ninety Six - Automotive Birthday Cards	Posty Cards Inc.	https://postycards.com/catalog/product/Three_Ninety_Six_A5044U	37.00 USD	"A classic car birthday card featuring silver holographic foil embossing and printed on heavy, uncoated, FSC&reg; certified paper.Includes 26 white envelopes for every 25 cards ordered."	https://postycards.com/images/fck/Exterior/2015%20AO/A5044.jpg	A5044U-X		In Stock	New	Automotive Birthday Card	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
X562U-AA	Auto Greetings - Automotive Holiday Cards	Posty Cards Inc.	https://postycards.com/catalog/product/Auto_Greetings_X562U	40.50 USD	"A season's greetings card with a subtle automotive design. Featuring silver foil embossing and FSC&reg; certified paper.Includes 26 white envelopes for every 25 cards ordered."	https://postycards.com/images/fck/Exterior/2010%20Hol/X562.jpg	X562U-AA		In Stock	New	Automotive Holiday Card	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
H1311U-A	Classic Car Greetings - Automotive Holiday Cards	Posty Cards Inc.	https://postycards.com/catalog/product/Classic_Car_Greetings_H1311U	35.50 USD	"This graphic classic car is sure to please any auto enthusiast. Printed on FSC&reg; certified paper.Includes 26 white envelopes for every 25 cards ordered."	https://postycards.com/images/fck/Exterior/2011%20Hol/H1311.jpg	H1311U-A		In Stock	New	Automotive Holiday Card	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
H2189U-AA	Fairlane Christmas - Automotive Holiday Cards	Posty Cards Inc.	https://postycards.com/catalog/product/Fairlane_Christmas_H2189U	40.50 USD	"This photograph of a classic Ford Fairlane is perfect for anyone with a love of automobiles. Featuring FSC&reg; certified paper and gold foil embossing.Includes 26 white envelopes for every 25 cards ordered."	https://postycards.com/images/fck/Exterior/2012%20Hol/H2189.jpg	H2189U-AA		In Stock	New	Automotive Holiday Card	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
DX581D-A	Holiday Car - Automotive Holiday Cards	Posty Cards Inc.	https://postycards.com/catalog/product/Holiday_Car_X581D	35.50 USD	"This auto holiday card features a shiny red sports car all wrapped up for the holidays. Printed on FSC&reg; certified paper.Includes 26 white envelopes for every 25 cards ordered."	https://postycards.com/images/fck/Exterior/2010%20Hol/X581.jpg	DX581D-A		In Stock	New	Automotive Holiday Card	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
H3168U-AA	Holiday Drive - Automotive Holiday Cards	Posty Cards Inc.	https://postycards.com/catalog/product/Holiday_Drive_H3168U	40.50 USD	"A festive automotive holiday card with a steering wheel decorated like a holiday wreath. Featuring FSC&reg; certified paper with red holographic foil embossing.Includes 26 white envelopes for every 25 cards ordered."	https://postycards.com/images/fck/Exterior/2013%20Hol/H3168.jpg	H3168U-AA		In Stock	New	Automotive Holiday Card	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
H6163U-A	Holiday Rims - Automotive Holiday Cards	Posty Cards Inc.	https://postycards.com/catalog/product/Holiday_Rims_H6163U	35.50 USD	"An auto holiday card featuring tires tied up with a festive bow. Printed on FSC&reg; certified paper.Includes 26 white envelopes for every 25 cards ordered."	https://postycards.com/images/fck/Exterior/2016%20Hol/H6163U.jpg	H6163U-A		In Stock	New	Automotive Holiday Card	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
H6161U-AA	Holiday Travels - Automotive Holiday Cards	Posty Cards Inc.	https://postycards.com/catalog/product/Holiday_Travels_H6161U	40.50 USD	"This fun, graphic holiday card is perfect for anyone in the automotive or insurance industries. Featuring green foil embossing and FSC&reg; certified paper.Includes 26 white envelopes for every 25 cards ordered."	https://postycards.com/images/fck/Exterior/2016%20Hol/H6161U.jpg	H6161U-AA		In Stock	New	Automotive Holiday Card	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
H4221U-AA	Snow Tires - Automotive Holiday Cards	Posty Cards Inc.	https://postycards.com/catalog/product/Snow_Tires_H4221U	40.50 USD	"This contemporary holiday card features a subtle automotive design with tires made of snowflakes and red foil embossing. Printed on FSC&reg; certified paper.Includes 26 white envelopes for every 25 cards ordered."	https://postycards.com/images/fck/Exterior/2014%20Hol/H4221.jpg	H4221U-AA		In Stock	New	Automotive Holiday Card	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
H5182S-AAA	Snow Tracks - Automotive Holiday Cards	Posty Cards Inc.	https://postycards.com/catalog/product/Snow_Tracks_H5182S	45.50 USD	"An automotive holiday card with tire tracks in the snow and snowflakes made of car keys. Featuring silver sparkle foil embossing and printed on heavy, uncoated FSC&reg; certified paper.Includes 26 silver foil lined envelopes for every 25 cards ordered."	https://postycards.com/images/fck/Exterior/2015%20Hol/H5182.jpg	H5182S-AAA		In Stock	New	Automotive Holiday Card	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
